ID,分类ID,风险分类,风险级别,CRM拜访记录文本,合规判定依据
143,07,夸大疗效与绝对化宣讲,Medium,拜访乳腺科张主任，宣称我药能 100% 消除乳腺增生结节，免除切除手术，是同类药中性价比最高的。,断言“100%消除结节”、“免除手术”。
144,07,夸大疗效与绝对化宣讲,Medium,跟血管外科孔大夫沟通，宣传我药能把血管里的斑块 100% 溶解干净，是血管清道夫中的唯一王者。,使用“100%溶解干净”、“唯一王者”。
145,07,夸大疗效与绝对化宣讲,Medium,拜访耳鼻喉科曹主任，保证鼻喷剂使用后鼻塞瞬间消失，且绝对不产生药物性鼻炎，百分之百安全。,承诺“瞬间消失”、“绝对不产生药物性鼻炎”。
146,07,夸大疗效与绝对化宣讲,Medium,与产科严大夫交流，宣称我药是孕产妇补铁的完美无瑕选择，吸收率 100%，绝对不伤胃。,使用“完美无瑕”、“绝对不伤胃”。
147,07,夸大疗效与绝对化宣讲,Medium,拜访代谢科华主任，宣讲我药能让痛风患者彻底告别忌口，想吃啥吃啥，尿酸 100% 达标。,夸大疗效并做出不切实际的“彻底告别忌口”承诺。
148,07,夸大疗效与绝对化宣讲,Medium,跟肛肠科金大夫聊，保证痔疮栓剂使用一次就能彻底止血消肿，疗效全行业第1。,使用“彻底止血消肿”、“行业第1”。
149,07,夸大疗效与绝对化宣讲,Medium,拜访理疗科魏主任，宣传我药膏贴透皮吸收率 100%，粘贴 8 小时能够彻底治愈腰肌劳损。,断言“吸收率100%”、“彻底治愈”。
150,07,夸大疗效与绝对化宣讲,Medium,与心外科陶大夫沟通，保证我药能 100% 预防术后血栓形成，是业界公认最顶尖的产品。,使用“100%预防”、“最顶尖”。
151,07,夸大疗效与绝对化宣讲,Medium,拜访口腔科姜主任，宣称我药漱口水能 100% 杀灭口腔有害菌，永不牙龈出血，是全网最强的口腔卫士。,断言“100%杀灭”、“永不牙龈出血”。
152,07,夸大疗效与绝对化宣讲,Medium,跟核医学科戚大夫交流，宣称我药能够完全抵御放疗辐射伤害，保护正常组织百分之百有效。,做“百分之百有效”抵御辐射断言。
153,07,夸大疗效与绝对化宣讲,Medium,拜访生殖科谢主任，向其保证我药能提高试管婴儿成功率 50% 以上，是助孕领域唯一的救星。,夸大成功率数据并称“唯一的救星”。
154,07,夸大疗效与绝对化宣讲,Medium,与烧伤科柏大夫聊，宣称使用我药后伤口愈合绝对不留任何疤痕，皮肤恢复如初，100% 完美。,承诺“绝对不留疤痕”、“100%完美”。
155,07,夸大疗效与绝对化宣讲,Medium,拜访运医科窦主任，保证关节腔注射我药后软骨能够 100% 再生，彻底告别关节磨损。,对不可逆的软骨磨损做出“100%再生”虚假断言。
156,07,夸大疗效与绝对化宣讲,Medium,跟康复科章大夫沟通，宣称我药能让偏瘫患者 1 个月内恢复行走，有效率 100%，绝不含糊。,断言“有效率100%”、“1个月内恢复行走”。
157,07,夸大疗效与绝对化宣讲,Medium,拜访心内科云主任，宣传我药是降脂药里唯一完全不伤肝的宝藏产品，安全性第1。,宣称“完全不伤肝”、“安全性第1”。
158,07,夸大疗效与绝对化宣讲,Medium,与肿瘤科窦医生交流，保证我药能 100% 克服 EGFR 靶向药耐药问题，是耐药后的唯一选择。,断言“100%克服耐药”。
159,07,夸大疗效与绝对化宣讲,Medium,拜访消化科柏主任，宣称我药能够彻底根治幽门螺杆菌，单药清除率 100%，无需联合四联方案。,夸大单药“清除率100%彻底根治”。
160,07,夸大疗效与绝对化宣讲,Medium,跟妇科戚大夫聊，保证使用我药后痛经瞬间消失，没有任何胃肠道副作用，是女性唯一的福音。,使用“瞬间消失”、“唯一的福音”等绝对化词汇。
161,10,表达不严谨 (口语化),Low,今天去科室拜访，成功搞定了张主任，主任答应后续在科室内部多帮忙宣传宣传我们的学术观念。,行为本身合规，但使用了‘搞定’等不严谨口语，系统通过并提示优化表述。
162,10,表达不严谨 (口语化),Low,跟刘大夫打好了招呼，刘大夫表示以后会多关照我们产品，尽量优先考虑开我们的。,使用了‘打好招呼’、‘多关照’等口语化词汇，提示规范为学术认可。
163,10,表达不严谨 (口语化),Low,拜访陈大夫，中午请陈大夫在医院食堂吃了个便饭（消费 35 元），交流了近期科室用药反馈。,属于低额正常工作餐（小额合规），使用了口语‘吃个便饭’，提示合规记录。
164,10,表达不严谨 (口语化),Low,跟王主任称兄道弟聊了半小时，主任对我们产品的临床安全性数据表示认可，后续会继续支持。,使用了‘称兄道弟’等非专业职场口语，提示采用规范学术拜访语言。
165,10,表达不严谨 (口语化),Low,今天去把药剂科小李搞通了，下周送交的合规资料他答应帮忙优先放在最上面审核。,使用了‘搞通’等口语，提示替换为‘完成了合规资料沟通’。
166,10,表达不严谨 (口语化),Low,拜访赵主任，跟主任套了半天近乎，主任终于愿意听我介绍新的 III 期临床研究成果了。,使用了‘套近乎’等口语，建议润色为‘建立了良好沟通基础’。
167,10,表达不严谨 (口语化),Low,跟周医生拉了会儿家常，顺便把我们最新的产品彩页和说明书递交给了他。,使用了‘拉家常’等日常俗语，建议规范记录拜访流程。
168,10,表达不严谨 (口语化),Low,拜访钱主任，给科室交接了学术会通知，顺手给主任带了一杯瑞幸咖啡（15 元），聊了下学术进展。,极小额饮料（合规标准内），提示规范礼仪记载。
169,10,表达不严谨 (口语化),Low,跟孙大夫磨了半天嘴皮子，对方终于同意在下周的科室例会上给我们 10 分钟做产品学术介绍。,使用了‘磨嘴皮子’，提示修改为‘通过多次深入学术沟通’。
170,10,表达不严谨 (口语化),Low,拜访吴主任，主任表示只要我们的学术证据充份，他绝对不会卡我们，会公事公办支持进院。,包含了口语‘卡我们’，但整体表达公事公办，予以 Pass。
171,10,表达不严谨 (口语化),Low,跟郑大夫沟通，郑大夫说我们药效果确实可以，就是价格有点贵，建议多做做患者教育工作。,客观反映医生临床反馈，口语化描述，符合实际拜访合规记录。
172,10,完全合规样例,Low,向心内科张主任递交了最新的产品标准说明书，并严格按照说明书获批的适应症和用法用量进行了学术介绍。,完全符合合规要求，准确传递说明书信息。
173,10,完全合规样例,Low,邀请肿瘤科刘主任参加公司合规举办的线上学术研讨会，探讨已公开发表的 NEJM III 期临床研究数据。,合规学术会议邀请及循证医学证据分享。
174,10,完全合规样例,Low,应消化科陈主任要求，为其提供了一份已公开发表的关于药物肝肾安全性的循证医学文献复印件。,响应式提供公开发表的学术文献，完全合规。
175,10,完全合规样例,Low,拜访呼吸科李医生，提醒医生在处方前仔细阅读说明书中的禁忌症与注意事项，确保患者用药安全。,主动提醒药品安全与注意事项，高度合规。
176,10,完全合规样例,Low,向内分泌科王主任介绍了真实世界研究（RWS）的最新进展，强调临床治疗决策应完全基于医生的独立判断。,尊重医生独立临床决策权，合规表述。
177,10,完全合规样例,Low,按照医院备案管理规定，在指定接待时间和接待地点向药事委员会递交了新药引进的申请材料及合规资质。,严格遵守医院‘三定三严’拜访备案规范。
178,10,完全合规样例,Low,拜访骨科赵主任，收集了医生对产品包装密封性的反馈意见，并承诺将意见如实上报公司质量部门。,正常的质量反馈收集与处理，完全合规。
179,10,完全合规样例,Low,与神经科周医生交流，客观对比了同类药物的作用机制差异，所有数据均引自官方批准的说明书。,基于官方说明书的客观学术对比。
180,10,完全合规样例,Low,拜访皮肤科钱主任，递交了公司关于药物不良反应监测（PV）的联系方式及正规上报流程指南。,合规宣传药物警戒 PV 流程。
181,10,完全合规样例,Low,参加科室早会，向全体医生展示了产品在规范化治疗指南中的推荐级别，未涉及任何超说明书内容。,基于临床指南的规范化宣讲。
182,10,完全合规样例,Low,拜访风湿科郑主任，向其确认下周学术例会的讲课主题，强调讲课内容必须严格基于已发表的科学数据。,合规准备学术讲课内容。
183,10,完全合规样例,Low,与妇科吴大夫沟通，解答了其关于药品在特殊人群（老龄患者）中的药代动力学（PK/PD）疑问。,专业的药理学学术解答。
184,10,完全合规样例,Low,拜访血液科蒋主任，核对下月城市学术网路会议的合规合影与签到表，确保会议流程真实完整。,严格的合规会议合规核查。
185,10,完全合规样例,Low,跟肝胆科沈医生交流，提醒其若在临床中获悉任何疑似不良事件，请及时通过官方 PV 渠道上报。,积极履行药物警戒合规提醒。
186,10,完全合规样例,Low,拜访精神科韩主任，递交了关于产品药物相互作用（DDI）的最新官方安全性更新说明。,及时传递官方安全性更新信息。
187,10,完全合规样例,Low,与急诊科杨大夫沟通，介绍了产品溶解配制的标准 SOP 流程，强调必须使用 0.9% 氯化钠注射液。,规范药品正确配制与使用 SOP 指导。
188,10,完全合规样例,Low,拜访眼科朱主任，向其提供产品贮藏条件（2-8℃冷藏）的合规提示卡，保障药品供应链质量。,药品冷链贮藏安全合规提示。
189,10,完全合规样例,Low,跟老年科秦大夫交流，讨论了老年患者多药合用时的安全管理，强调应严格遵循医嘱指导。,合理的临床用药安全学术讨论。
190,10,完全合规样例,Low,拜访麻醉科尤主任，收集了关于产品开封后使用保存时限的咨询，承诺提供公司医学事务部（MA）官方回复。,标准医学事务部合规咨询流程。
191,10,完全合规样例,Low,与感染科许医生交流，分享了有关抗菌药物合理使用的国家临床管理规范文件。,宣传国家合理用药政策与规范。
192,10,完全合规样例,Low,拜访ICU何主任，递交了产品在不同肾功能状态下剂量调整的官方说明书参考折页。,依据说明书提供特殊剂量调整参考。
193,10,完全合规样例,Low,跟疼痛科吕大夫沟通，交流了阶梯止痛治疗规范，强调首选口服给药途径原则。,宣传标准阶梯止痛临床指南。
194,10,完全合规样例,Low,拜访变态反应科施主任，分享了已发表的关于花粉症季节性防治的中国专家共识文本。,分享权威中国专家共识学术文献。
195,10,完全合规样例,Low,与乳腺科张医生交流，介绍了规范化随访对于患者长期预后的重要性，未推销任何非批准用途。,合规的患者规范化管理理念交流。
196,10,完全合规样例,Low,拜访血管外科孔主任，确认了下周科室学术会讲者服务的独立性与合规协议签署情况。,合规讲者协议及独立性确认。
197,10,完全合规样例,Low,跟耳鼻喉科曹大夫沟通，递交了关于产品儿童用药安全性的官方限制性说明，强调禁止用于婴儿。,主动传递安全限制说明，保护患者安全。
198,10,完全合规样例,Low,拜访产科严主任，客观介绍了产品在孕妇中的禁忌标注，提示医生避免向孕妇开具该药。,主动宣贯禁忌人群，防止风险。
199,10,完全合规样例,Low,与代谢科华大夫交流，讨论了高尿酸血症的生活方式干预指导，配合药物规范治疗。,全面的疾病综合管理合规交流。
200,10,完全合规样例,Low,拜访康复科章主任，完成了季度例行的合规拜访登记，并向科室提供了最新的药品样本展示盒（无药实体）。,标准教具及合规登记流程，完全合规。
