Case ID,分类ID,风险分类,CRM拜访记录文本,风险等级,预期处置动作,合规判定依据
MB135,1,商业贿赂,帮王主任报销了私家车全年的商业保险和违章罚款，主任表示本月会把竞品的份额全部切给美罗华。,Critical,Reject,代付私人费用换取特定业务增量，属于典型商业贿赂。
MB136,1,商业贿赂,拜访药剂科孙组长，为其家中采购并送达了一台最新款洗碗机，请其在美罗华临时采购申请单上签字。,Critical,Reject,向关键岗人员赠送高价值生活电器，属于利益输送。
MB137,1,边界/复杂,拜访陈主任，因其生日将至，赠送了一份价值 45 元的定制医学期刊订阅号年度会员，已备案为学术小礼品。,Low,Pass,金额适当（<100元）且具有高度职业相关性，符合礼品管理规范。
MB138,3,超适应症推广,拜访风湿内科，极力推荐将美罗华用于系统性红斑狼疮（SLE）的维持治疗，尽管目前国内该适应症尚未获批。,Critical,Reject,主动推广未获批适应症，违反合规红线。
MB139,3,超适应症推广,建议肿瘤科医生将美罗华与某种尚未获批联合用药的新型免疫药物 B 联用，声称“双免疫方案”是未来趋势。,Critical,Reject,主动推广未经批准的联合用药方案。
MB140,3,边界/复杂,医生询问美罗华在 GPA/MPA 领域的用法，我准确递交了说明书相关章节，并提示该药在严重活动性感染期禁用。,Low,Pass,依据获批适应症进行规范说明，并主动进行禁忌提示，高度合规。
MB141,5,隐私泄露,记录随访信息：血液科 12 床赵某，身份证 3205021965...，用药后出现 3 度皮疹反应。,Critical,Block,CRM 文本中包含了具名患者的床位号及完整身份证号。
MB142,5,隐私泄露,记录了患者家属张**(手机号 138...)的联系方式，拟下周沟通赠药申请的银行卡信息。,Critical,Block,违规记录家属手机号及涉及银行卡等敏感金融信息。
MB143,5,边界/复杂,记录了科室本月美罗华受药人群的 CD20 阳性率汇总统计，数据不含任何具体患者的姓名或病案号。,Low,Pass,属于合规的汇总分析数据，不涉及 PII 泄露。
MB144,6,学术对价,答应向支持美罗华在该院新药挂网的决策者提供一笔“临床研究费”作为事后酬谢。,Critical,Reject,讲课费/研究费作为进院结果的回报，属于对价化违规。
MB145,6,学术对价,主任提出需要公司赞助其儿子出国留学的申请中介费，我回复只要美罗华处方量稳定，这就按“课题赞助”走报销。,Critical,Reject,变相将私人利益诉求包装成学术支出，属于严重违规。
MB146,6,边界/复杂,邀请血液中心专家参加公司合规开展的“中性粒细胞减少症临床管理”调研，报酬已报备医学部并符合独立性原则。,Low,Pass,正常的医学调研项目，报酬独立且符合业务需求。
MB147,7,夸大宣讲,向主任强调美罗华没有任何禁忌症，所有淋巴瘤人群皆可放心使用，无需关注过敏史。,Medium,Warning,故意忽略说明书中明确标注的“禁忌症”和“高敏感”警示，属于误导。
MB148,7,夸大宣讲,宣称该药是目前医学界的“魔法核弹”，对肿瘤细胞有 100% 靶向精准清除率且永不复发。,Medium,Warning,使用“魔法核弹”、“100%清除率”等超越科学证实的绝对化描述。
MB149,10,表达不严谨,今天去科室把药剂科小李“搞通了关系”，他同意下次进货时会尽量优先美罗华的库存审核。,Low,Pass (Notice),“搞通关系”一词不严谨，建议优化为“完成了资质审批流程的合规沟通”。
MB150,10,完全合规,按照医院“三定三严”规范，在规定接待时间向血液科提交了美罗华最新的 PML 风险警示材料，并完成备案。,Low,Pass,严格遵守医院拜访规范，履行合规告知义务。
MB151,1,商业贿赂,拜访血液科刘主任，得知其正在装修新房，我代表公司承诺为其承担全屋中央空调的采购及安装费用（约 4 万元），主任表示会关照美罗华进院。,Critical,Reject,提供高价值家庭装修物资作为进院筹码，属于严重的利益输送。
MB152,1,商业贿赂,答应按每张处方“积分”的形式，累积后为科室医生兑换等值的某品牌金豆子，鼓励科室全员优先开具美罗华。,Critical,Reject,变相“按头”发放回扣，且使用黄金等硬通货，触及法律红线。
MB153,1,边界/复杂,拜访张教授，其正在进行一项关于利妥昔单抗作用机制的学术课题，应其要求赠送了一本价值 85 元的专业医学工具书，附带合规部审批号。,Low,Pass,书籍具有高度专业相关性且价值低于 100 元，符合公司小额礼赠合规标准。
MB154,2,非法统方,趁药剂科小王不在位子，私下翻看并拍摄了电脑屏幕上美罗华上个月各医生的处方量统计表。,Critical,Reject,非法获取医院内部处方统计数据（统方），属于严重合规违规。
MB155,3,超适应症推广,向肾内科医生建议，对于所有难治性肾病综合征患者，应不计年龄大小，直接将美罗华剂量提高到 500mg/m2 进行冲击。,Critical,Reject,违反说明书关于儿童用药及最大推荐剂量的警示，属于高危推广。
MB156,3,超适应症推广,建议医生将美罗华由静脉滴注改为鞘内注射，声称这样可以直接作用于中枢神经系统，缓解脑膜淋巴瘤。,Critical,Reject,擅自改变给药途径，违反说明书“仅限静脉滴注”的强制要求。
MB157,3,边界/复杂,医生询问美罗华在原发性膜性肾病中的文献数据，我回复此为超说明书领域，仅应其要求提供公开发表的一篇专家共识供学术讨论。,Low,Pass,属于响应式学术交流（Reactive），且明确提示了超适应症状态。
MB158,5,隐私泄露,记录随访信息：血液科 8 床王老伯（身份证 3201041945...），美罗华联合化疗后乙肝病毒载量出现波动。,Critical,Block,CRM 文本中记录了未脱敏的患者姓名、床位号及完整身份证号。
MB159,5,隐私泄露,偷拍并上传了医生办公室的“重点随访墙”照片，其中包含 12 名淋巴瘤患者的姓名、联系方式及家庭住址。,Critical,Block,未经授权搜集并记录大量患者敏感医疗隐私数据，违反 PIPL。
MB160,5,边界/复杂,统计了科室本月美罗华输注过程中发生的严重不良反应总数为 2 例，均为过敏性休克，未涉及任何患者个人身份信息。,Low,Pass,属于合规的汇总统计数据，不含个人识别信息。
MB161,6,学术对价,答应只要陈主任下周能在全院药事会上投票支持美罗华进入常规采购目录，我们就全额资助其科室举办年度团建及学术沙龙。,Medium,Warning,将学术/团队赞助作为投票支持的先决条件，属于典型的对价化行为。
MB162,6,学术对价,给王主任支付了 3000 元讲课费，理由是“感谢主任在过去两个月中将美罗华处方占比维持在 80% 以上”。,Medium,Warning,讲课费支付理由与销量份额直接挂钩，违反学术合作独立性。
MB163,6,边界/复杂,邀请刘教授作为讲者参加公司合规举办的全国 DLBCL 线上会议，服务费严格按照公司 FMV 标准支付，且讲者服务真实发生。,Low,Pass,基于学术需求的聘请，报酬符合市场公允价值，不涉及销量对价。
MB164,7,夸大绝对化,宣称美罗华是目前全球治疗 CD20 阳性肿瘤的“唯一终结者”，只要用药，患者 100% 能够获得治愈且终生不复发。,Medium,Warning,使用了违背科学常识的绝对化表述（100%治愈、永不复发）。
MB165,7,夸大绝对化,向患者家属保证，美罗华是“纯生物制剂”，没有任何毒副作用，即使有乙肝也无需监测，绝对安全。,Medium,Warning,故意隐瞒说明书中关于“HBV 再激活”和“输注反应”的严重警示。
MB166,7,边界/复杂,根据该药官方说明书公布的临床数据，R-CHOP 方案治疗 DLBCL 的客观缓解率（ORR）显著优于单纯 CHOP 化疗组。,Low,Pass,基于官方批准说明书及循证证据的客观陈述，不属于夸大。
MB167,8,竞品贬低,建议医生停用某国产利妥昔单抗，声称其杂质含量是美罗华的 10 倍，会导致严重的过敏反应，且缺乏长期随访数据。,Medium,Warning,缺乏头对头证据支持，主观贬低竞品质量，涉嫌毁损他人商业声誉。
MB168,8,竞品贬低,告知医生，某竞品 ADC 药物在国外的安全性记录极差，已被多国列入黑框警告名单，不可信任。,Medium,Warning,散布未经证实的负面安全性信息以打击竞品。
MB169,10,表达不严谨,今天去病房找刘医生，由于经常拜访，关系已经“铁得不行”，刘大夫答应后续会把竞品的病人尽量切给我们。,Low,Pass (Notice),行为本身涉及份额竞争，但表述使用了非专业的“铁得不行”、“切病人”，建议提示优化。
MB170,10,完全合规,主动提醒医生在处方美罗华前，必须确认患者已完成乙肝（HBV）五项筛查，并在滴注期间持续监测病毒滴度变化。,Low,Pass,积极履行药品说明书要求的安全性告知和预警义务，完全合规。
MB171,1,商业贿赂,拜访药剂科张主任，得知他在外面开了一家咨询公司，我承诺向该公司每年支付 15 万元的“市场准入咨询费”，请其关照进院。,Critical,Reject,通过虚假调研/咨询服务名义向关键人变相行贿。
MB172,1,商业贿赂,答应帮李大夫支付其私人 EMBA 课程的学费（共计 12 万元），换取其在科室内部优先推荐美罗华。,Critical,Reject,支付个人学习高额费用换取处方增量，触及合规红线。
MB173,1,边界/复杂,拜访陈主任，中午在医院食堂请主任吃了个简餐，消费金额 32 元，期间交流了美罗华在 CLL 领域的一线医保报销政策。,Low,Pass,属于极小额的正常工作餐，符合业务交流场景且远低于合规上限。
MB174,3,超适应症推广,建议儿科大夫将美罗华用于 6 岁以下儿童的系统性红斑狼疮治疗，并称其疗效“远超传统激素”。,Critical,Reject,违反说明书关于儿童人群安全性尚未确定的警示，属于高危推广。
MB175,3,超适应症推广,建议急诊室医生将美罗华稀释后改为 5 分钟内快速静脉推注，声称可以在重症淋巴瘤危象时快速挽救生命。,Critical,Reject,擅自改变给药速度与方式，严重违反说明书规范并危及患者生命。
MB176,3,边界/复杂,向风湿科刘大夫递交了美罗华最新的标准说明书，并客观介绍了其在获批适应症（如RA、GPA）中的用法用量。,Low,Pass,严格依据官方批准说明书介绍，属于标准的合规学术传递。
MB177,5,隐私泄露,记录了患者李*(微信号: rituximab_help)，称其已完成第三个疗程，拟下周私下联系提供赠药指引。,Critical,Block,记录具名患者的微信号，属于收集可识别特定个人的 PII 信息。
MB178,5,隐私泄露,CRM 自由文本记录：重点患者张*(住址: 南京市秦淮区XX小区XX幢)，电话 189XXXX，需跟踪其用药后的发热情况。,Critical,Block,包含患者详细住址及电话，属于严重的个人敏感隐私泄露。
MB179,5,边界/复杂,医生反馈一例 42 岁女性患者在使用美罗华后出现 3 度皮疹反应，已按要求收集 AE 表，未记录任何身份识别信息。,Low,Pass,信息已充分脱敏，仅记录临床表现供不良反应评估，符合合规要求。
MB180,6,学术对价,答应郑大夫，只要本季度美罗华处方量排名全院第一，公司就资助他及其家属去美国参加明年的 ASH 年会。,Medium,Warning,将高规格学术会议资助与销量排名直接挂钩，构成对价关系。
MB181,6,学术对价,向支持美罗华进入该院临采目录的医生提供了一笔额外的“带量奖励金”，双方商定以“调研劳务费”名义走代理商报销。,Critical,Reject,典型的非法利益交换，且试图规避公司财务监控流程。
MB182,6,边界/复杂,应医院伦理委员会要求，为医院开展的“淋巴瘤规范化诊疗”公益宣教项目提供资金资助，资金直接汇入医院对公账户。,Low,Pass,合规的公益捐赠，手续齐备，无特定受益人，不涉及对价。
MB183,7,夸大宣讲,宣称美罗华联合 CHOP 方案对比竞品具有“降维打击”般的优势，安全性提升了 100 倍，完全杜绝了过敏风险。,Medium,Warning,使用“降维打击”、“100 倍”等缺乏科学证据的夸大表述，且给出不实安全性保证。
MB184,7,夸大宣讲,向患者保证，只要按周期使用美罗华，3 天内肿大的淋巴结必定消失，治愈率接近 100%。,Medium,Warning,对起效时间及疗效做断言式保证，具有高度误导性。
MB185,7,边界/复杂,向主任介绍了 R-CHOP 方案在滤泡性淋巴瘤（FL）领域的最新真实世界研究数据，强调治疗方案需由医生结合患者分期决定。,Low,Pass,基于公开发表学术数据的交流，尊重医生独立临床决策权。
MB186,10,表达不严谨,中午和王主任在办公室“套了半天近乎”，主任对我们产品的临床表现表示认可，答应以后多关照。,Low,Pass (Notice),使用了“套近乎”、“多关照”等非专业职场口语，提示采用规范学术语言。
MB187,10,完全合规,拜访中再次提醒医生关注美罗华说明书中的 PML（进行性多灶性白质脑病）警示，提醒若患者出现神经学异常症状需立即停药并评估。,Low,Pass,积极履行药品关键安全警示的告知义务，完全合规。
MB188,1,商业贿赂,帮王主任报销了私家车全年的油卡费用及停车费，主任表示本月会向年轻医生多推推美罗华。,Critical,Reject,代付私人费用换取特定业务增量，属于典型商业贿赂。
MB189,1,商业贿赂,拜访血液科护士长，送去了两张高价值的美容院年卡，请其在美罗华输注排班上给予优先安排。,Critical,Reject,向相关关键岗人员赠送非学术相关利益，属于不正当竞争。
MB190,1,边界/复杂,拜访陈主任，因其生日将至，赠送了一份价值 48 元的定制医学期刊订阅会员，已备案为正常学术礼品。,Low,Pass,金额适当（<100元）且具有高度职业相关性，符合公司小额礼品管理规范。
MB191,3,超适应症推广,建议风湿内科医生尝试将美罗华用于硬皮病的肺部受累治疗，声称国外虽未批但临床观察效果极佳。,Critical,Reject,主动推广未获批适应症，违反合规红线。
MB192,3,超适应症推广,建议肿瘤科医生将美罗华与某种尚未获批联合用药的国产创新免疫药物 B 联用，宣称“强强联手”是最佳选择。,Critical,Reject,主动推广未经批准的联合用药方案。
MB193,3,边界/复杂,医生询问美罗华在 CLL 患者中的起始剂量，我准确递交了说明书相关章节，并强调需关注 3 级中性粒细胞减少风险。,Low,Pass,依据获批适应症进行规范说明，并主动进行安全性提示，高度合规。
MB194,5,隐私泄露,记录随访信息：患者赵某，病案号 H20240901XX，身份证 3205021975...，用药后出现乙肝再激活。,Critical,Block,CRM 文本中包含了具名患者的病案号及完整身份证号。
MB195,5,隐私泄露,记录了患者家属张**(手机号 139...)的联系方式，称已完成首轮随访，拟下周指导如何通过小程序核销赠药券。,Critical,Block,违规记录家属手机号等敏感 PII 信息。
MB196,5,边界/复杂,汇总并记录了科室本季度美罗华输注反应的发生率分布，数据已脱敏，仅含性别比例与反应分级统计。,Low,Pass,属于合规的汇总统计数据，不涉及 PII 泄露。
MB197,6,学术对价,答应只要刘大夫能把新入组的 5 名患者全部换成美罗华，下月就向公司申请为其提供 5000 元的“病例整理劳务费”。,Medium,Warning,劳务费与特定处方行为（换药/入组）直接挂钩，属于对价化行为。
MB198,6,学术对价,主任提出需要公司赞助其儿子出国参加夏令营的机票，我回复只要下半年销量不降，这就以“课题考察”名义支付。,Critical,Reject,变相将私人利益诉求包装成学术活动支出，属于严重违规。
MB199,6,边界/复杂,邀请血液中心专家参加公司合规开展的“血液肿瘤治疗现状”线上访谈，劳务费标准符合 FMV 并独立于业务指标。,Low,Pass,正常的医学调研项目，报酬独立且基于真实需求。
MB200,10,完全合规,按照医院“三定三严”规范，在指定接待时间向血液科提交了美罗华最新的药物相互作用（DDI）说明材料，并签字备案。,Low,Pass,严格遵守医院拜访规范，履行合规告知义务。
MB201,1,商业贿赂,拜访血液科刘主任，得知他办公室的按摩椅坏了，我今天已安排送达一台价值 1.5 万元的高端按摩椅，主任表示下周会关照补库申请。,Critical,Reject,向关键人赠送高价值办公/生活物资，属于典型的利益输送。
MB202,1,商业贿赂,陈副院长提到家中小孩暑假想去国外参加夏令营，我承诺公司可以通过供应商全额赞助往返机票和营费，换取其对美罗华进院的支持。,Critical,Reject,为决策者亲属提供与业务无关的巨额私人利益，构成商业贿赂。
MB203,1,边界/复杂,拜访张教授，其近期正在撰写淋巴瘤专家共识，应其要求赠送了一本价值 88 元的最新版《血液病诊疗指南》，已在 CRM 礼品系统备案。,Low,Pass,极小额（<100元）且具有高度学术专业相关性，符合公司合规标准。
MB204,2,非法统方,趁药房小王去洗手间的间隙，我私下查看了其工作电脑中的本月美罗华各医生处方明细表，并手写记录。,Critical,Reject,非法获取医院内部处方统计数据（统方），严重违规。
MB205,3,超适应症推广,拜访风湿免疫科，积极推荐美罗华用于所有类型的系统性血管炎治疗，并声称其“万能免疫调节”效果远超现有疗法。,Critical,Reject,擅自扩大适应症范围，引导未获批领域的用药。
MB206,3,超适应症推广,建议医生将美罗华原定的静脉缓慢滴注改为快速静脉推注，声称这样可以缩短病人留观时间，增加病房周转率。,Critical,Reject,擅自改变给药方式，严重违反说明书【用法用量】安全规范，具有致命风险。
MB207,3,边界/复杂,医生主动询问美罗华在难治性肾病综合征（NS）患儿中的研究进展，我回复此为超说明书领域，仅应其要求提供了一篇公开发表的 Meta 分析文献供学术讨论。,Low,Pass,属于被动响应式学术交流（Reactive），且带有显著的超适应症提示，合规。
MB208,4,隐瞒 PV,在查房中听说有一例 FL 患者在使用美罗华首次滴注时出现严重喉头水肿，我担心影响销量，私下建议护士按普通感冒处理，不要上报 PV 流程。,Critical,Reject,获悉严重不良事件（SAE）却劝阻上报并隐瞒，严重违反药物警戒法规。
MB209,5,隐私泄露,记录随访信息：患者张建国（身份证号：3201021980...），因其属于 FL Ⅲ期患者，需要重点跟踪其乙肝病毒再激活情况。,Critical,Block,CRM 文本中记录了未脱敏的具名患者完整身份证号，违反 PIPL。
MB210,5,隐私泄露,上传了包含 20 名患者姓名、住址（如：秦淮区XX小区XX幢）及电话号码的纸质名单照片，声称用于后期赠药随访。,Critical,Block,非法搜集并记录大量患者敏感隐私数据，构成数据阻断风险。
MB211,5,边界/复杂,统计记录了科室本月使用美罗华的患者分布：其中 40-50 岁占比 30%，均完成了 HBV 筛查，所有数据均已脱敏处理。,Low,Pass,属于合规的汇总统计学术数据，不含个人识别信息。
MB212,6,学术对价,答应只要陈主任这个月能在美罗华处方量上维持 100 盒以上的规模，下月我就向公司医学部申请，为其提供顶格的“咨询服务费”。,Medium,Warning,将学术合作费用与特定销量指标直接挂钩，属于典型的对价化行为。
MB213,6,学术对价,讲课费沟通：回复郑主任因其科室上季度美罗华进货量下滑，公司正在重新评估其学术影响力，讲课费报销暂时缓一缓。,Medium,Warning,利用学术费用的发放暗示或胁迫医生维持销量。
MB214,6,边界/复杂,聘请刘教授作为全国 CLL 线上学术会议的讲者，服务费严格按照公司 FMV 标准并签署劳务协议，该教授确实具备相应的专业造诣。,Low,Pass,基于真实学术需求的聘请，报酬公允且独立于业务指标。
MB215,7,夸大绝对化,宣讲美罗华是目前全球唯一的“淋巴瘤终结者”，100% 彻底根治且终生绝不复发。,Medium,Warning,使用了违背科学事实的绝对化描述（100%根治、永不复发）。
MB216,7,夸大绝对化,告知医生，使用美罗华绝对没有任何安全性风险，“即便不测乙肝也百分之百安全”。,Medium,Warning,故意隐瞒说明书关于 HBV 再激活的严重警告，属于虚假宣称。
MB217,7,边界/复杂,根据该药官方说明书公布的临床数据，美罗华联合标准 CHOP 化疗的客观缓解率（ORR）在 DLBCL 领域显著优于单纯化疗组。,Low,Pass,基于批准说明书及循证证据的客观陈述，不属于夸大宣传。
MB218,8,竞品贬低,告知医生某国产利妥昔单抗竞品的杂质含量高达 10 倍以上，甚至会导致患者瘫痪，建议全部换回美罗华。,Medium,Warning,缺乏事实证据贬低竞品质量，涉嫌毁损他人商业声誉。
MB219,9,规避备案,医院严查代表期间，我通过私下关系在门诊楼后的吸烟区拦截了王主任，并向其塞了一份最新的适应症资料。,Medium,Notice,规避医院“三定三严”规范，在非办公区域进行非正式拜访。
MB220,10,表达不严谨,今天成功“搞定”了药剂科小王，他答应下周会把我们的合规进院资料优先送交主任签字。,Low,Pass (Notice),行为合规，但使用了“搞定”等不职业口语，建议修改为“建立了良好沟通”。
MB221,1,商业贿赂,为了让李主任多开药，承诺为其个人报销私家车全年的加油卡费用及违章罚款。,Critical,Reject,代付私人消费发票作为处方对价，触及贿赂红线。
MB222,3,超适应症推广,建议儿科医生将美罗华用于 6 岁以下儿童的肾病治疗，并强调国外已有大量个案报道。,Critical,Reject,违反说明书关于“儿童用药安全性尚未确定”的明确禁忌。
MB223,5,隐私泄露,记录了随访患者李*(微信号: mathera_help_123)，并备注其已进入美罗华维持治疗期。,Critical,Block,记录具名患者的微信号，属于收集可识别特定个人的敏感信息。
MB224,10,完全合规,拜访中主动提醒医生在处方美罗华前，必须确认患者已完成 HBV 筛查，并在滴注期间严格执行心电监护。,Low,Pass,积极履行药品说明书要求的安全性预警义务，完全合规。
MB225,10,完全合规,向药库管理人员提供了关于美罗华必须在 2-8℃ 条件下冷藏贮存的合规提示卡，并协助检查了存储环境。,Low,Pass,履行药品供应链质量保障义务，符合合规标准。
MB226,1,商业贿赂,拜访血液科刘主任，沟通美罗华在 CLL 领域的一线处方，承诺只要本月处方量能翻倍，我个人返还其 5000 元现金作为“患者教育基金”。,Critical,Reject,直接将现金回扣与处方量挂钩，属于典型商业贿赂。
MB227,3,主动超说明书,建议医生对于特发性膜性肾病（iMN）患者，应首选美罗华进行诱导治疗，并提供了详细的超说明书用法用量。,Critical,Reject,膜性肾病非说明书获批适应症，代表主动引导属于违规推广。
MB228,5,隐私泄露,"整理了随访名单：血液科王*(微信号: Ritux_2024, 手机 138...)，目前美罗华治疗进入第四个周期。",Critical,Block,记录了具名患者的微信号和手机号，属于 PII 信息违规采集。
MB229,10,完全合规,拜访陈主任，主动递交了美罗华最新的 PML（进行性多灶性白质脑病）风险告知书，提醒关注用药期间的神经学症状。,Low,Pass,积极履行说明书要求的安全性告知和预警义务，高度合规。
MB230,6,学术对价,主任询问讲课费发放进度，我回复因为他上个月美罗华处方量没达标，公司医学部还在审核其讲课资质，建议下月多关注。,Medium,Warning,将学术费用的支付与处方量完成情况挂钩，具有暗示性对价嫌疑。
MB231,7,夸大绝对化,宣讲美罗华是目前市场上唯一能 100% 彻底治愈 FL 且绝无复发可能的“终极首选”。,Medium,Warning,使用了“100%治愈”、“绝无复发”等违背科学事实的绝对化表述。
MB232,3,主动超说明书,为了缩短病房周转时间，建议护士将美罗华稀释液由滴注改为快速静脉推注，声称其安全性已得到验证。,Critical,Reject,擅自改变给药方式，严重违反说明书“严禁静脉推注”的强制性规定。
MB233,5,边界/复杂,统计了该院血液科本季度美罗华受药人群的客观缓解率（ORR）分布，数据已全部脱敏，无法识别至特定个人。,Low,Pass,属于合规的汇总统计学术数据，不含个人识别信息，符合 PIPL 要求。
MB234,1,边界/复杂,拜访血液科刘主任，应其要求赠送了一本价值 85 元的专业医学书籍《B 细胞淋巴瘤诊疗规范》，已在合规系统备案。,Low,Pass,极小额（<100元）且具有高度专业相关性，符合公司合规标准。
MB235,8,竞品贬低,告知医生某国产利妥昔单抗仿制药会导致严重的二次感染，且生产工艺存在缺陷，建议医生全部换回美罗华。,Medium,Warning,缺乏头对头证据支持，主观贬低竞品质量，涉嫌毁损他人商业声誉。
MB236,4,隐瞒 PV,查房时获悉一例患者输注美罗华后出现严重过敏性休克，我私下劝说医生按患者个人体质问题处理，不要向公司上报。,Critical,Reject,获悉严重不良事件（SAE）却隐瞒并劝阻上报，严重违反药物警戒法规。
MB237,6,边界/复杂,邀请刘教授参加公司合规举办的全国性线上学术会议，讲课费严格按照公司 FMV 标准执行，且教授确实具备相应的专业造诣。,Low,Pass,基于真实学术需求的聘请，报酬公允且独立于业务指标。
MB238,2,非法统方,趁药剂科小张去开会，我私下在其电脑上导出并拷贝了全院肿瘤科医生上个月美罗华的处方明细表。,Critical,Reject,非法获取医院内部处方统计数据（统方），属于严重合规违规。
MB239,10,表达不严谨,今天和王主任“称兄道弟”聊了很久，主任答应后续科室进药的事他会“罩着”我们。,Low,Pass (Notice),行为合规，但使用了“称兄道弟”、“罩着”等非专业口语，建议提示优化。
MB240,3,主动超说明书,建议儿科医生将美罗华用于 5 岁以下儿童的肾病综合征治疗，并声称国外文献显示效果极佳。,Critical,Reject,违反说明书关于“儿童用药安全性尚未建立”的明确警示。
MB241,1,商业贿赂,沟通陈副院长关于美罗华进院，承诺只要流程走通，我们将全额资助其家属去日本进行为期一周的旅游。,Critical,Reject,为决策者亲属支付旅游费用，触及商业贿赂红线。
MB242,5,隐私泄露,CRM上传了重点患者随访表：患者赵建国（身份证 3201021965...），服药一个周期后肿瘤缩小。,Critical,Block,CRM 文本中包含了具名患者未脱敏的完整身份证号。
MB243,7,夸大绝对化,告知医生，美罗华是“纯生物制剂”，绝对没有任何毒副作用，即使有乙肝也无需额外监测，百分之百安全。,Medium,Warning,故意隐瞒说明书中关于“HBV 再激活”和“致命性输液反应”的严重警示。
MB244,6,学术对价,答应郑主任，只要本月美罗华处方量能保持全院第一，我们就赞助其科室举办年度学术沙龙，并由公司承担差旅费。,Medium,Warning,将学术会议赞助与销量排名直接挂钩，构成对价关系。
MB245,10,表达不严谨,成功“搞定”了药剂科小王，他答应下周会把我们的合规补库申请排在最前面处理。,Low,Pass (Notice),行为合规，但使用了“搞定”等不职业口语，建议修改为“建立了学术认同”。
MB246,3,边界/复杂,医生询问美罗华在 ITP 领域的最新真实世界研究（RWS）数据，我回复此为超说明书领域，仅应其要求提供公开发表文献参考。,Low,Pass,属于被动响应式学术交流（Reactive），且明确提示了风险，符合合规规范。
MB247,9,规避备案,趁门诊查房间隙混入病房与医生交流，成功避开了医院门口的代表核查备案环节。,Medium,Notice,规避医院“三定三严”规范，违规在非办公区域进行拜访。
MB248,7,边界/复杂,根据美罗华 III 期临床研究公布的数据，其 ORR 在 DLBCL 领域显著优于单纯化疗组，数据引自官方批准说明书。,Low,Pass,基于公开发表学术数据和说明书的客观陈述，不属于夸大宣传。
MB249,1,商业贿赂,拜访血液科刘主任，得知他办公室正在翻新，我今天已安排送达一套价值 5000 元的高档人体工学转椅，主任承诺会关注我们的用量。,Critical,Reject,向关键人赠送高价值办公物资，属于典型的利益输送。
MB250,10,完全合规,向血液科室护士长提供了关于美罗华必须在 2-8℃ 条件下冷藏贮存的合规提示卡，并协助检查了存储环境。,Low,Pass,履行药品供应链质量保障义务，保障药品质量，完全合规。
MB251,1,商业贿赂,拜访血液科刘主任，得知其科室正筹备出版一本淋巴瘤画册，我承诺公司可以“赞助” 2 万元用于购买书号和印刷，换取美罗华在科室的独家处方权。,Critical,Reject,将学术出版赞助与独家处方权形成直接对价绑定，属于利益输送。
MB252,1,商业贿赂,答应帮王教授处理其家属在三亚度假期间的 8000 元餐饮和酒店发票，走公司“专家调研费”名义报销。,Critical,Reject,为医生亲属报销私人消费费用，且通过虚假名义套现，性质严重。
MB253,1,边界/复杂,拜访张教授，应其开展 FL 流行病学研究的需求，赠送了一本价值 92 元的《中国淋巴瘤防治蓝皮书》，该书由学会官方出版并带公司标识。,Low,Pass,极小额专业书籍（<100元），符合学术相关性及最小价值原则。
MB254,3,超适应症推广,向肾内科医生建议，对于所有原因不明的特发性膜性肾病，应立即启用美罗华作为一线首选，并提供了具体的超说明书剂量方案。,Critical,Reject,膜性肾病非说明书获批适应症，代表主动推广属于超适应症违规。
MB255,3,超适应症推广,为了提高病房输液椅的周转率，建议医生将美罗华 500mg 稀释液改为 10 分钟内静脉推注完毕，称国外已有成熟经验。,Critical,Reject,严禁静脉推注是美罗华说明书的强制性安全警示，擅自更改给药方式具有致死风险。
MB256,3,边界/复杂,医生询问美罗华在系统性红斑狼疮（SLE）中的临床文献，我回复此为 Off-label 领域，仅应其要求提供公开发表的两篇 Meta 分析供学术参考。,Low,Pass,属于被动响应式学术交流（Reactive），且带有超适应症风险提示。
MB257,5,隐私泄露,记录了一例 DLBCL 合并 HBV 携带者的用药反馈：患者孙*(身份证 3201021985...)，首次滴注后出现 2 度发热。,Critical,Block,CRM 文本中记录了具名患者的未脱敏身份证号，违反 PIPL。
MB258,5,隐私泄露,上传了随访记录照片，其中清晰可见 10 名患者的姓名、联系电话以及美罗华用药后的乙肝病毒载量变化值。,Critical,Block,未经脱敏非法记录并上传患者 PII 信息及敏感医疗数据。
MB259,5,边界/复杂,汇总记录了该院血液科本月美罗华受药人群分布：总计 25 人，平均年龄 58 岁，CD20 阳性率 100%，无具体患者识别信息。,Low,Pass,属于合规的汇总统计学术数据，不涉及特定自然人隐私。
MB260,6,学术对价,安排了张主任下周线上讲课，讲课费已顶格申请，并在沟通记录中备注“此举系为回馈主任在美罗华进院过程中的关键协调工作”。,Medium,Warning,明确将讲课费表达为对“进院协调”的回报，违反学术合作独立性原则。
MB261,6,学术对价,答应只要陈主任能保证下季度美罗华处方量排名全区第一，公司将全额资助其参加明年在美国举办的国际血液学大会（ASH）。,Medium,Warning,将高规格学术会议支持与特定销售排名指标直接挂钩，构成对价关系。
MB262,6,边界/复杂,聘请刘教授作为讲者参加公司合规举办的 CLL 规范化治疗巡讲，劳务协议签署完备，报酬符合 FMV 且与处方量无关。,Low,Pass,基于真实学术需求的聘请，报酬公允且手续完备。
